date,ticker,open,high,low,close,ret_21,ret_63,ret_126,spy_ret_63,rs_63,ma_20,ma_50,ma_100,avg_vol_5,avg_vol_20,avg_vol_50,vol_ratio_20_50,vol_acceleration,atr_pct,extension_pct,compression_ratio,proximity_20,proximity_50,rs_acceleration,extension_50ma,extension_20ma,structure_condition,relative_strength_score,trend_score,structure_score,volume_score,volatility_score,extension_score,total_score,signal,breakout_compression_score,breakout_volume_score,breakout_proximity_score,breakout_rs_acceleration_score,breakout_extension_score,breakout_structure_score,breakout_total_score,breakout_signal,tag
2026-05-05,EA,201.9499969482422,202.0800018310547,201.38999938964844,201.57000732421875,-0.012686110361641356,0.0008938275739405199,0.007547784584885475,0.04965699647525157,-0.04876316890131105,202.75750045776368,201.86020080566405,202.45550003051758,1439580.0,1557075.0,2010508.0,0.7744684428015208,0.9245412070709503,0.003944040878530055,-0.00585671617998812,0.7457795366183011,-0.01297617217042557,-0.01297617217042557,-0.013579937935581876,-0.001437596318080931,-0.00585671617998812,0,0,1,0,0,1,1,3,Bullish,2,0,2,0,2,0,6,Strong Breakout Candidate,neutral
2026-05-05,GOOGL,386.2300109863281,392.82000732421875,384.0199890136719,388.42999267578125,0.29480984472951977,0.14341645063785435,0.381379100619772,0.04965699647525157,0.09375945416260278,345.33199920654295,318.41599914550784,319.2718994140625,37502920.0,27263095.0,29048612.0,0.9385334831144427,1.3755929031535121,0.025194839825278023,0.12480162153597996,1.1561322354186419,-0.011175639139006877,-0.011175639139006877,0.1513933940916654,0.21988214699688766,0.12480162153597996,1,2,2,0,0,1,1,6,Strong Bullish,0,1,2,2,0,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,GS,909.72998046875,921.75,908.219970703125,918.8900146484375,0.06101267548092193,-0.02140595298669845,0.164080241626136,0.04965699647525157,-0.07106294946195002,917.2034973144531,870.7150024414062,895.8974011230468,1625960.0,1959220.0,2202538.0,0.8895283531998086,0.829901695572728,0.02333250602278348,0.0018387602521386744,0.799230785327472,-0.0347895450441128,-0.0347895450441128,0.08241862846762038,0.05532810629419832,0.0018387602521386744,1,0,1,0,0,1,1,3,Bullish,2,0,0,1,2,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,HIVE,2.6600000858306885,2.8499999046325684,2.609999895095825,2.8399999141693115,0.44162430097670535,0.14979752278272906,-0.4538461503192517,0.04965699647525157,0.1001405263074775,2.3954999923706053,2.2043999934196474,2.4852999937534332,14462680.0,19253525.0,13351440.0,1.442056062866627,0.7511704999474123,0.0764587478699584,0.18555621925042282,1.280323276781749,-0.0035087687010102453,-0.0035087687010102453,0.2918267781939763,0.2883323909666997,0.18555621925042282,1,2,1,0,1,1,1,6,Strong Bullish,0,1,2,2,0,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,MSFT,415.32000732421875,416.7799987792969,408.79998779296875,411.3800048828125,0.10325037410386129,0.0004134467334628855,-0.20553869793473423,0.04965699647525157,-0.049243549741788684,409.5645004272461,396.9763995361328,424.47820037841797,38839620.0,35520665.0,34201824.0,1.03856054577674,1.0934372991046197,0.027682080569559148,0.0044327681077644685,1.1801620672463182,-0.05146416116208008,-0.05146416116208008,0.1028369273703984,0.03628327871256404,0.0044327681077644685,1,0,1,0,0,1,1,3,Bullish,0,1,0,2,2,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,NVAX,8.100000381469727,8.15999984741211,7.809999942779541,8.100000381469727,0.016311241493138118,-0.032258005708601156,-0.035714196510051366,0.04965699647525157,-0.08191500218385273,8.289499950408935,9.037199974060059,8.511299953460693,3181120.0,3027385.0,4184190.0,0.7235295242328862,1.050781449997275,0.03924161904490548,-0.02286019302405086,0.5972512411704173,-0.09899882228114232,-0.32330825390363105,0.048569247201739274,-0.10370464250878861,-0.02286019302405086,0,0,0,0,0,1,1,2,Neutral,2,1,0,1,2,0,6,Strong Breakout Candidate,neutral
2026-05-05,RIOT,19.200000762939453,20.420000076293945,19.059999465942383,20.350000381469727,0.5051774920454253,0.3265971433537853,0.028816970426550848,0.04965699647525157,0.27694014687853374,17.688000202178955,15.802000141143798,15.51220004081726,22720320.0,20417415.0,18206880.0,1.1214120706018824,1.1127912127955473,0.0648964648468691,0.15049752085387494,1.0871816119705555,-0.003427996795430155,-0.003427996795430155,0.17858034869163997,0.2878116820467722,0.15049752085387494,1,2,2,1,1,1,1,8,Strong Bullish,0,1,2,2,0,1,6,Strong Breakout Candidate,extended
2026-05-05,TTWO,226.0,226.44000244140625,221.94000244140625,223.11000061035156,0.13432303544159963,0.051562438308054404,-0.1297343493400337,0.04965699647525157,0.0019054418328028344,211.8684989929199,207.42599975585938,220.259100189209,1371340.0,1470790.0,1747956.0,0.8414342237447624,0.9323832770143936,0.027228727046197436,0.05305886278925926,0.9608998918361441,-0.017223167952268748,-0.017223167952268748,0.08276059713354522,0.07561251180156908,0.05305886278925926,1,0,1,0,0,1,1,3,Bullish,0,0,2,2,1,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,WAL,80.22000122070312,82.51000213623047,80.22000122070312,81.86000061035156,0.12014229008360378,-0.10388613051217499,0.05830642825079524,0.04965699647525157,-0.15354312698742656,78.90350074768067,75.73720031738281,82.46750015258789,873920.0,998485.0,1415882.0,0.7052035409730472,0.875245997686495,0.029117646189474152,0.03746981863485697,0.8639256437917271,-0.007877851279238901,-0.10034066895009086,0.22402842059577877,0.08084270698297087,0.03746981863485697,1,0,1,0,0,1,1,3,Bullish,1,0,2,0,2,1,6,Strong Breakout Candidate,early_breakout
2026-05-05,ZM,107.01499938964844,109.5,105.33000183105469,109.0999984741211,0.3195452113138346,0.22957279777444906,0.2507164309933405,0.04965699647525157,0.1799158012991975,91.24799995422363,83.27219985961914,85.85855003356933,6063620.0,4759060.0,4596094.0,1.035457499346184,1.2741213601005241,0.03662892145964296,0.19564262809982985,1.1566470193476344,-0.0036529819714968825,-0.0036529819714968825,0.08997241353938557,0.31016111809274455,0.19564262809982985,1,2,2,0,0,1,1,6,Strong Bullish,0,1,2,2,0,1,6,Strong Breakout Candidate,early_breakout
