Date,IONQ_Open,IONQ_High,IONQ_Low,IONQ_Close,IONQ_Volume,QBTS_Open,QBTS_High,QBTS_Low,QBTS_Close,QBTS_Volume,RGTI_Open,RGTI_High,RGTI_Low,RGTI_Close,RGTI_Volume,QUBT_Open,QUBT_High,QUBT_Low,QUBT_Close,QUBT_Volume,XNDU_Open,XNDU_High,XNDU_Low,XNDU_Close,XNDU_Volume,INFQ_Open,INFQ_High,INFQ_Low,INFQ_Close,INFQ_Volume,HQ_Open,HQ_High,HQ_Low,HQ_Close,HQ_Volume
2026-02-12,33.7,33.7,30.89,31.3,18115200,19.59,19.74,18.45,18.82,23670500,16.07,16.09,14.78,14.99,35116500,8.52,8.52,7.92,8.19,12288000,,,,,0,,,,,0,,,,,0
2026-02-13,32.31,34.65,30.85,34.11,21567100,19.07,20.07,18.47,19.67,23824100,15.5,16.24,14.84,16.09,28503300,8.36,8.59,7.96,8.47,11249200,,,,,0,,,,,0,,,,,0
2026-02-17,33.48,34.32,31.85,33.18,13735200,19.1,19.3,17.81,18.44,25351500,15.53,16.36,15.15,15.59,29060100,8.31,8.36,7.91,8.05,10516800,,,,,0,14.25,17.51,13.01,15.59,6358500,,,,,0
2026-02-18,33.33,34.88,32.39,33.34,13374800,18.59,19.62,18.03,19.07,21493800,15.56,16.69,15.26,16.18,28856700,8.06,8.45,7.8,8.21,8777700,,,,,0,16.2,16.49,14.02,14.71,4442400,,,,,0
2026-02-19,32.72,33.58,31.98,33.43,13722100,18.62,19.49,18.37,19.38,19676400,15.88,16.74,15.64,16.6,28121900,8.05,8.31,7.95,8.22,7318300,,,,,0,15.06,15.09,12.99,13.68,4827100,,,,,0
2026-02-20,32.67,33.88,31.38,31.9,15804300,18.92,19.36,17.83,18.06,26616400,16.3,16.55,15.5,15.92,28409300,8.16,8.3,7.84,7.9,9106800,,,,,0,13.55,13.66,12.49,13.29,4003000,,,,,0
2026-02-23,31.02,31.67,30.17,30.78,14580100,17.57,18.36,17.41,18.05,18540200,15.49,16.32,15.33,16.02,21337300,7.76,7.98,7.63,7.88,8357900,,,,,0,12.8,12.92,11.86,12.49,3134200,,,,,0
2026-02-24,31.09,31.96,30.19,31.62,15049400,17.83,18.88,17.68,18.66,19842700,15.91,16.73,15.65,16.48,24675800,7.81,8.23,7.76,8.11,8739700,,,,,0,12.28,12.34,11.4,12.03,4424100,,,,,0
2026-02-25,32.19,34.4,31.84,33.59,26860100,18.98,19.81,18.65,19.65,25594900,16.79,17.79,16.48,17.63,31507200,8.22,8.94,8.09,8.68,14679200,,,,,0,11.98,13.19,11.92,13.09,3912500,,,,,0
2026-02-26,39.05,41.9,38.75,40.88,70334600,20.67,21.7,19.72,20.14,43719200,18.3,19.21,18.07,18.64,53658800,9.1,9.15,8.6,9.04,17557800,,,,,0,13.36,14.0,12.68,12.89,3892600,,,,,0
